APT_ICAO,YEAR,RADIUS,SECT_100,N_ARR,N_ARR_VALID,FLTS,TRVL_TIME,REF_TRVL,ADD_TIME,ADD_ASMA_TIME
SBBR,2018,100,0--90--160--280--360,81908,6018,6018,139729.633333333,126280.386666667,13449.2466666667,2.23483660130719
SBCF,2018,100,0--80--120--180--250--350--360,50686,3922,3922,90692.9666666667,80431.6066666667,10261.36,2.61635900050994
SBCT,2018,100,0--130--250--300--360,32690,2684,2684,62269.5666666667,55573.8533333333,6695.71333333333,2.49467709885743
SBFL,2018,100,0--40--150--305--360,23244,1339,1339,31920.65,28691.3766666667,3229.27333333333,2.41170525267613
SBGL,2018,100,0--150--295--360,57860,3958,3958,96747.1,84854.8833333333,11892.2166666667,3.0046024928415
SBGR,2018,100,0--50--150--275--320--360,147988,10504,10504,277803.25,234125.656666667,43677.5933333333,4.15818672251841
SBKP,2018,100,0--70--150--260--345--360,54140,4172,4172,101919.4,89153.5833333333,12765.8166666667,3.05987935442633
SBPA,2018,100,0--100--180--290--360,40679,2856,2856,69801.7333333333,62934.78,6866.95333333333,2.4043954248366
SBRF,2018,100,0--150--255--330--360,40485,2789,2789,67752.6666666667,60364.5533333333,7388.11333333334,2.64901876419266
SBRJ,2018,100,0--150--290--360,51443,3786,3786,91403.1,81273.4933333333,10129.6066666667,2.6755432294418
