APT_ICAO,YEAR,HR_SLOT,N_SLOTS,MAX_N,MAX_CAP,REGION,UTIL_RATE
EDDF,2019,18:00:00,365,72,106,EUR,0.6792452830188679
EDDM,2019,13:00:00,365,62,90,EUR,0.6888888888888889
EGKK,2019,22:00:00,365,38,55,EUR,0.6909090909090909
EGLL,2019,05:00:00,364,52,88,EUR,0.5909090909090909
EHAM,2019,17:00:00,365,77,112,EUR,0.6875
LEMD,2019,13:00:00,364,54,100,EUR,0.54
LFPG,2019,06:00:00,365,68,120,EUR,0.5666666666666667
LIRF,2019,18:00:00,365,50,90,EUR,0.5555555555555556
LSZH,2019,15:00:00,365,44,66,EUR,0.6666666666666666
