AIRPORT,YEAR,RWY,N_ARR,ASMA_N,SUM_ASMA_REF,SUM_ASMA_TRVL,AVG_ADD_ASMA
EDDF,2014,4,234491,228983,5336299.36307713,6163422.15,3.61215805069752
EDDF,2015,4,234027,228652,5308291.65470358,5988725.36666667,2.97584850324111
EDDF,2016,4,231407,226349,5264049.69539573,5781282.81666667,2.28511334828488
EDDF,2017,4,237742,232477,5370246.94654158,5892674.66666667,2.24722325273073
EDDF,2018,4,256006,250013,5887350.96426548,6480761.43333333,2.37351845331184
EDDF,2019,4,219174,214823,5006907.67257393,5599324.25,2.75769623097188
EDDM,2014,2,186972,183504,3938289.55665761,4550066.73333333,3.33386289495443
EDDM,2015,2,188393,185041,3973191.34503823,4551018.96666667,3.12270049139617
EDDM,2016,2,194838,191173,4103255.53763318,4725248.08333333,3.25355853441725
EDDM,2017,2,198088,194519,4181741.52718744,4795512.78333333,3.15532804582528
EDDM,2018,2,205266,160757,3433460.08827465,3877879.78333333,2.76454334839964
EDDM,2019,2,176091,139019,2983436.62833973,3430233.8,3.21392882742843
EGLL,2014,2,235394,231108,5661233.42748913,7547024.16666667,8.15978131080507
EGLL,2015,2,236090,234797,5750504.84140883,7788293.26666667,8.67893723198266
EGLL,2016,2,237375,235600,5773814.59990869,7685314.36666667,8.11332668403215
EGLL,2017,2,237859,232284,5654815.88325187,7587622.61666667,8.32087760420345
EGLL,2018,2,238439,234835,5773559.56236172,7476831.16666667,7.25305684546573
EGLL,2019,2,200245,78415,1949643.5926616,2451867.26666667,6.40468882235623
EHAM,2014,6,224883,218388,4816929.92281292,5613572.81666667,3.64783272823484
EHAM,2015,6,231268,224190,4941841.16703932,5819079.96666667,3.91292564176526
EHAM,2016,6,245713,239319,5272962.40967651,6172685.2,3.75951257661738
EHAM,2017,6,219985,213639,4717454.8851141,5562699.6,3.95641579901566
EHAM,2018,6,256131,247006,5430633.52706502,6324880.25,3.62034413307765
EHAM,2019,6,101071,79829,1757766.20929683,2139423.25,4.78093225147713
LEMD,2014,4,171305,169347,3880025.66372931,4494458.01666667,3.62824468657463
LEMD,2015,4,183307,181234,4124199.51425346,4831746.6,3.90405269290831
LEMD,2016,4,189096,186458,4246859.67134438,5009132.61666667,4.08817505991851
LEMD,2017,4,194355,191766,4348959.86536382,5081203.78333333,3.81842411047588
LEMD,2018,4,201923,198882,4523652.22837529,5357920,4.19478772148666
LEMD,2019,4,176880,150330,3432259.85736873,4069732.86666667,4.24049098182625
LFPG,2014,4,227899,225431,5251000.32639017,5865595.28333333,2.72631074228105
LFPG,2015,4,238350,235213,5473707.52068527,6100823.83333333,2.66616348861697
LFPG,2016,4,240002,237148,5530020.66478381,6125795.26666667,2.5122480555723
LFPG,2017,4,241622,238415,5549799.93536874,6156932.05,2.54653488510061
LFPG,2018,4,245269,240979,5639491.45262086,6259900.21666667,2.57453456129292
LFPG,2019,4,216604,211567,4939123.19570737,5504501.98333333,2.67233920047057
LIRF,2014,4,156027,153896,3140059.80215871,3683239.18333333,3.52952241237344
LIRF,2015,4,157297,104564,2193679.23159257,2565374.88333333,3.55471913603877
LIRF,2016,4,156632,154994,3159669.34067387,3670380.61666667,3.29503900791515
LIRF,2017,4,148407,147320,2995720.27237725,3494354.08333333,3.38469868962858
LIRF,2018,4,153254,152211,3093095.57461465,3685536.43333333,3.89223419278953
LIRF,2019,4,132184,78029,1528549.62757744,1803228.25,3.5202120035187
LSZH,2014,3,130248,121039,2654177.40007422,3208697.91666667,4.58133755725385
LSZH,2015,3,130503,121561,2669730.43259895,3219174.28333333,4.51990235959216
LSZH,2016,3,132746,124211,2717727.487313,3224769.65,4.08210353903434
LSZH,2017,3,133464,124637,2728837.68452471,3179578.58333333,3.61642930115956
LSZH,2018,3,137325,128546,2809988.16998459,3324878.9,4.00549787636651
LSZH,2019,3,116159,69016,1526165.50434006,1806317.9,4.05923837457894
